Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
158,0.03190194,0,0.387330719,0.004936576,0,0.430201533,0,0,0,0,0.086284972,0,0.020792508,0.445139961,0,0.058675269,0,0.004340243,0,0.504931421,0.09586328,0.017480959,0.01,0.306960924,0.968507708,2.087879382
159,0.188374669,0.076539997,0.381710565,0,0,0.793992288,0.007867829,0,0,0,0.35075931,0,0.066974311,0.295272518,0,0.503365714,0,0.020109672,0.001566292,0.299330872,0,0,0.008,0.320806107,0.951964941,2.985864036
160,0.268813589,0,0.189864016,0,0,0.289606416,0.058138652,0,0.022418234,0,0.068480851,0,0,0.580668467,0.001877402,0.115845107,0,0,0,0.167501831,0,0,0.036,0.175498381,1.031227967,1.763214566
161,0,0.510303793,0.426745382,0,0,0.864427033,0.027059836,0,0,0,0,0.034505531,0.082969522,0.034956663,0.039231738,0.59682761,0,0,0.022948955,0.043002615,0.155092919,0,0,0.460078776,0.887480007,2.838071597
162,0.080361749,0,0.573460494,0,0.007010547,0.444242851,0,0,0,0,0.163439182,0,0.27087155,0.048170705,0,0.011738988,0,0,0,0.253867297,0.021629233,0,0.008,0.321288859,0.964582876,1.874792596
163,0.045668777,0.015347249,0.677602096,0.038530139,0,0.530297618,0,0,0.019931796,0,0.073441529,0,0.017666896,0.322486999,0,0.440880819,0,0.013506489,0.154009923,0.346227571,0,0,0.002,0.409485121,0.913731221,2.695597902
164,0.081000126,0.21014877,0.382713553,0,0.000178379,0.360207028,0,0,0,0,0.200067017,0,0,0.481129575,0.004102138,0.119996712,0,0,0,0.387747111,0.001860278,0.058691194,0.002,0.400284703,0.91871007,2.287841881
165,0,0.045703883,0.158566199,0,0.126800797,0.050642599,0,0,0,0,0.054904985,0,0,0.595029992,0.008152887,0.169445731,0,0,0,0.112559032,0,0,0.368,0.043282583,1.119846116,1.321806106
166,0.118883148,0,0.394429185,0.038932359,0.0824533,0,0,0,0.037616763,0,0.073862049,0,0,0.473380463,0,0.088459283,0,0.00208453,0,0.148941146,0,0,0.014,0.286255539,0.992721853,1.459042227
167,0,0.269937839,0.5362754,0,0.195153601,0.418266602,0.016585959,0,0,0,0.300048932,0,0,0.256012457,0,0.134710749,0,0,0,0.227971814,0,0.014329166,0,0.485479986,0.873591209,2.36929252
168,0.033623355,0.193792366,0.612049501,0.000913232,0.081243955,0.538570024,0,0,0,0,0.111762009,0,0.067889847,0.16058611,0,0.244471881,0.028246977,0,0,0.277079066,0.112794917,0,0,0.461288671,0.886752178,2.463023241
169,0.325973958,0,0.131248923,0.084057119,0,0.387911881,0.257372828,0.000309314,0,0,0.061747889,0,0.140339146,0.319126598,0.005757524,0.189692818,0.001139696,0,0,0.082310651,0.024506816,0,0.006,0.354723091,0.936032582,2.011495161
